query_gene	transcript	symbols	description	length_aa	declared_length	location
At2g45900	AT2G45900.2	TRM13	TON1 Recruiting Motif 13	720	720	Chr2:18886069-18888674 REVERSE LENGTH=720
At2g45900	AT2G45900.3	TRM13	TON1 Recruiting Motif 13	720	720	Chr2:18886069-18888674 REVERSE LENGTH=720
At3g61380	AT3G61380.1	TRM14	TON1 Recruiting Motif 14	718	718	Chr3:22708769-22711279 REVERSE LENGTH=718
At3g61380	AT3G61380.2	TRM14	TON1 Recruiting Motif 14	718	718	Chr3:22708769-22711279 REVERSE LENGTH=718
At3g61380	AT3G61380.3	TRM14	TON1 Recruiting Motif 14	718	718	Chr3:22708769-22711279 REVERSE LENGTH=718
At4g00440	AT4G00440.1	TRM15	TON1 Recruiting Motif 15	831	831	Chr4:195176-198119 FORWARD LENGTH=831
At4g00440	AT4G00440.2	TRM15	TON1 Recruiting Motif 15	835	835	Chr4:195176-198225 FORWARD LENGTH=835
At4g00440	AT4G00440.3	TRM15	TON1 Recruiting Motif 15	832	832	Chr4:195176-198221 FORWARD LENGTH=832
At4g00440	AT4G00440.4	TRM15	TON1 Recruiting Motif 15	832	832	Chr4:195176-198221 FORWARD LENGTH=832
At4g00440	AT4G00440.5	TRM15	TON1 Recruiting Motif 15	831	831	Chr4:195176-198119 FORWARD LENGTH=831
At1g01695	AT1G01695.1	TRM33	TON1 Recruiting Motif 33	433	433	Chr1:252947-254495 FORWARD LENGTH=433
At2g20240	AT2G20240.1	TRM17	TON1 Recruiting Motif 17	713	713	Chr2:8727778-8730086 REVERSE LENGTH=713
At3g53540	AT3G53540.1	TRM19	TON1 Recruiting Motif 19	924	924	Chr3:19846805-19850670 REVERSE LENGTH=924
At3g53540	AT3G53540.2	TRM19	TON1 Recruiting Motif 19	955	955	Chr3:19846805-19849977 REVERSE LENGTH=955
At4g28760	AT4G28760.1	TRM20	TON1 Recruiting Motif 20	924	924	Chr4:14208640-14211811 FORWARD LENGTH=924
At4g28760	AT4G28760.2	TRM20	TON1 Recruiting Motif 20	924	924	Chr4:14208640-14211811 FORWARD LENGTH=924
At5g43880	AT5G43880.1	TRM21	TON1 Recruiting Motif 21	836	836	Chr5:17639975-17642848 REVERSE LENGTH=836
At5g43880	AT5G43880.2	TRM21	TON1 Recruiting Motif 21	836	836	Chr5:17639975-17642848 REVERSE LENGTH=836
At5g43880	AT5G43880.3	TRM21	TON1 Recruiting Motif 21	836	836	Chr5:17639975-17642848 REVERSE LENGTH=836
At5g43880	AT5G43880.4	TRM21	TON1 Recruiting Motif 21	836	836	Chr5:17639975-17642848 REVERSE LENGTH=836
At2g17550	AT2G17550.1	TRM26	TON1 Recruiting Motif 26	779	779	Chr2:7634495-7637212 REVERSE LENGTH=779
At2g17550	AT2G17550.2	TRM26	TON1 Recruiting Motif 26	705	705	Chr2:7634495-7636770 REVERSE LENGTH=705
At4g25430	AT4G25430.1	TRM23	TON1 Recruiting Motif 23	459	459	Chr4:12998571-13000211 FORWARD LENGTH=459
At5g51850	AT5G51850.1	TRM24	TON1 Recruiting Motif 24	590	590	Chr5:21079419-21081478 FORWARD LENGTH=590
At5g51850	AT5G51850.2	TRM24	TON1 Recruiting Motif 24	528	528	Chr5:21079720-21081478 FORWARD LENGTH=528
At5g62170	AT5G62170.1	TRM25	TON1 Recruiting Motif 25	703	703	Chr5:24973115-24975475 REVERSE LENGTH=703
At5g62170	AT5G62170.2	TRM25	TON1 Recruiting Motif 25	603	603	Chr5:24973115-24975005 REVERSE LENGTH=603
At5g62170	AT5G62170.3	TRM25	TON1 Recruiting Motif 25	603	603	Chr5:24973115-24975005 REVERSE LENGTH=603
At5g62170	AT5G62170.4	TRM25	TON1 Recruiting Motif 25	603	603	Chr5:24973115-24975005 REVERSE LENGTH=603
At5g01370	AT5G01370.1	TRM29,ACI1	ALC-interacting protein 1,TON1 Recruiting Motif 29	427	427	Chr5:152575-154295 FORWARD LENGTH=427
At5g58630	AT5G58630.1	TRM31	TON1 Recruiting Motif 31	372	372	Chr5:23696141-23697335 REVERSE LENGTH=372
At5g02390	AT5G02390.1	DAU1,TRM16	DUO1-activated unknown 1,TON1 Recruiting Motif 16	835	835	Chr5:508764-511710 REVERSE LENGTH=835
At5g02390	AT5G02390.2	DAU1,TRM16	DUO1-activated unknown 1,TON1 Recruiting Motif 16	751	751	Chr5:508834-511710 REVERSE LENGTH=751
At5g02390	AT5G02390.3	DAU1,TRM16	DUO1-activated unknown 1,TON1 Recruiting Motif 16	835	835	Chr5:508764-511710 REVERSE LENGTH=835
At1g07620	AT1G07620.1	ATOBGM,TRM32	TON1 Recruiting Motif 32	552	552	Chr1:2344556-2346374 REVERSE LENGTH=552
At1g07620	AT1G07620.2	ATOBGM,TRM32	TON1 Recruiting Motif 32	578	578	Chr1:2344556-2346374 REVERSE LENGTH=578
At1g07620	AT1G07620.3	ATOBGM,TRM32	TON1 Recruiting Motif 32	552	552	Chr1:2344556-2346374 REVERSE LENGTH=552
At1g07620	AT1G07620.4	ATOBGM,TRM32	TON1 Recruiting Motif 32	552	552	Chr1:2344556-2346374 REVERSE LENGTH=552
At1g63670	AT1G63670.1	TRM12	TON1 Recruiting Motif 12	689	689	Chr1:23607527-23610003 REVERSE LENGTH=689
At1g63670	AT1G63670.2	TRM12	TON1 Recruiting Motif 12	689	689	Chr1:23607527-23610003 REVERSE LENGTH=689
At1g63670	AT1G63670.3	TRM12	TON1 Recruiting Motif 12	689	689	Chr1:23607527-23610003 REVERSE LENGTH=689
At1g63670	AT1G63670.4	TRM12	TON1 Recruiting Motif 12	689	689	Chr1:23607527-23610003 REVERSE LENGTH=689
At1g63670	AT1G63670.5	TRM12	TON1 Recruiting Motif 12	509	509	Chr1:23608152-23610003 REVERSE LENGTH=509
At2g39435	AT2G39435.1	TRM18	TON1 Recruiting Motif 18	464	464	Chr2:16464806-16466492 REVERSE LENGTH=464
At2g39435	AT2G39435.2	TRM18	TON1 Recruiting Motif 18	464	464	Chr2:16464446-16466492 REVERSE LENGTH=464
At2g39435	AT2G39435.3	TRM18	TON1 Recruiting Motif 18	464	464	Chr2:16464806-16466492 REVERSE LENGTH=464
At2g39435	AT2G39435.4	TRM18	TON1 Recruiting Motif 18	464	464	Chr2:16464806-16466492 REVERSE LENGTH=464
At2g39435	AT2G39435.5	TRM18	TON1 Recruiting Motif 18	464	464	Chr2:16464806-16466492 REVERSE LENGTH=464
At2g39435	AT2G39435.6	TRM18	TON1 Recruiting Motif 18	464	464	Chr2:16464806-16466492 REVERSE LENGTH=464
At1g67040	AT1G67040.1	TRM22	TON1 Recruiting Motif 22	826	826	Chr1:25019105-25021922 REVERSE LENGTH=826
At1g67040	AT1G67040.2	TRM22	TON1 Recruiting Motif 22	828	828	Chr1:25019105-25021922 REVERSE LENGTH=828
At5g42710	AT5G42710.1	TRM30	TON1 Recruiting Motif 30	807	807	Chr5:17125578-17128696 FORWARD LENGTH=807
At5g42710	AT5G42710.2	TRM30	TON1 Recruiting Motif 30	803	803	Chr5:17125578-17128696 FORWARD LENGTH=803
At5g42710	AT5G42710.3	TRM30	TON1 Recruiting Motif 30	806	806	Chr5:17125578-17128696 FORWARD LENGTH=806
At3g24630	AT3G24630.1	TRM34	TON1 Recruiting Motif 34	724	724	Chr3:8988398-8990737 FORWARD LENGTH=724
At3g24630	AT3G24630.2	TRM34	TON1 Recruiting Motif 34	724	724	Chr3:8988398-8990737 FORWARD LENGTH=724
